"_Vind,_kias","_Vind,_keas","Vtrue,_ktas","Vtrue,_ktgs","_Vind,__mph","Vtrue,mphas","Vtrue,mphgs","____X,____m","____Y,____m","____Z,____m","___vX,__m/s","___vY,__m/s","___vZ,__m/s","_dist,___ft","_dist,___nm",A,B,C
28.43001,31.48072,31.62891,20.07166,32.71667,36.39790,23.10236,-23164.62695,51.24199,7515.14795,-1.90345,0.20437,-10.14870,266.25955,0.04382,0.44706,14.88858,14.89403
29.99938,32.22416,32.37604,20.40933,34.52267,37.25768,23.49137,-23165.25391,51.37122,7509.43066,-0.47003,0.22125,-10.48872,285.14532,0.04693,0.44706,14.88858,14.89250
31.44514,32.94060,33.09610,20.88860,36.18642,38.08632,24.04307,-23165.07813,51.53543,7501.97217,0.84734,0.23267,-10.71224,309.63766,0.05096,1.00000,14.88858,14.89065
32.65228,35.05503,35.22081,22.92244,37.57557,40.53138,26.38535,-23164.11328,51.71883,7494.14355,1.78749,0.28546,-11.65558,335.52100,0.05522,1.00000,14.88858,14.89065
34.03687,37.32863,37.50545,25.18254,39.16893,43.16050,28.98897,-23162.97852,51.89147,7487.38770,2.25163,0.35352,-12.75723,357.99646,0.05892,1.00000,14.88858,14.88734
36.34464,39.87683,40.06621,27.73018,41.82467,46.10738,31.92023,-23161.26367,52.16624,7477.93750,2.61799,0.36320,-14.02271,389.50797,0.06410,1.00000,14.88519,14.88734
38.77120,42.27254,42.47388,30.11432,44.61710,48.87807,34.66781,-23159.08008,52.47235,7466.90479,3.15080,0.45137,-15.16752,426.40710,0.07018,1.00000,14.88519,14.88734
41.32237,44.74150,44.95517,32.57890,47.55293,51.73349,37.49683,-23156.05469,52.75624,7453.42871,4.12004,0.32613,-16.24509,471.72476,0.07764,1.00000,14.88180,14.88734
44.00093,46.80331,47.02767,34.63479,50.63537,54.11848,39.87436,-23152.43750,53.16145,7439.12158,4.11035,0.56108,-17.33599,520.14355,0.08560,1.00000,14.87840,14.88734
45.80761,48.66893,48.90392,36.40494,52.71446,56.27762,42.03418,-23149.17188,53.93242,7424.73877,4.08162,1.56912,-18.27508,568.53174,0.09357,1.00000,14.87499,14.88734
48.06155,51.31461,51.56432,39.14203,55.30825,59.33916,45.04666,-23145.19922,54.72304,7407.63477,4.65913,0.26453,-19.58948,626.14148,0.10305,1.00000,14.87158,14.88734
50.48645,53.61362,53.87609,41.39133,58.09877,61.99951,47.69648,-23140.95117,55.39232,7389.34814,4.67453,1.14679,-20.77189,687.73517,0.11319,1.00000,14.86817,14.88734
52.96360,55.96091,56.23716,43.75500,60.94942,64.71658,50.39959,-23136.78906,56.27410,7369.95752,4.43024,1.01673,-22.06737,752.80292,0.12390,1.00000,14.86475,14.88734
55.01233,57.46260,57.75017,45.11953,63.30706,66.45771,52.16516,-23133.33203,57.75322,7350.70752,3.68331,2.28585,-22.91346,816.97321,0.13446,1.00000,14.86475,14.88734
57.01463,59.43261,59.73458,47.22161,65.61127,68.74133,54.42083,-23130.25586,59.34792,7329.44971,3.04003,1.35058,-24.09979,887.44586,0.14605,1.00000,14.86475,14.88392
58.80666,60.81829,61.13238,48.52425,67.67350,70.34989,56.11443,-23128.13086,61.14625,7307.24658,1.71686,2.50946,-24.90044,960.63397,0.15810,1.00000,14.86475,14.88050
60.35363,62.16716,62.49498,49.94588,69.45372,71.91794,57.71615,-23127.08203,63.42836,7284.37256,0.64920,2.37953,-25.68326,1035.76465,0.17046,1.00000,14.86475,14.87707
61.87148,63.76745,64.10957,51.68793,71.20043,73.77598,59.63190,-23127.00000,65.34856,7260.72510,-0.45496,1.92136,-26.58462,1113.35535,0.18323,1.00000,14.86475,14.87364
63.44250,65.32602,65.68193,53.30825,73.00833,75.58542,61.52819,-23127.91406,67.09975,7236.28711,-1.50501,2.14053,-27.38081,1193.59399,0.19644,1.00000,14.86475,14.87020
64.98644,66.84209,67.21261,54.89527,74.78506,77.34689,63.31654,-23129.62695,69.08786,7211.18848,-2.19855,1.93299,-28.15323,1276.13135,0.21002,1.00000,14.86475,14.86676
66.59956,68.49072,68.87565,56.59175,76.64141,79.26069,65.27113,-23131.91797,70.70621,7185.31787,-2.86493,1.97622,-28.97049,1361.34204,0.22405,1.00000,14.86303,14.86504
68.22546,70.15184,70.55185,58.31100,78.51246,81.18963,67.20095,-23134.74219,72.41071,7158.74072,-3.33181,1.64203,-29.81099,1449.02954,0.23848,1.00000,14.85958,14.86504
69.82863,71.77150,72.18530,59.95211,80.35735,83.06936,69.08908,-23137.75977,73.74151,7132.90771,-3.72767,1.66033,-30.61481,1534.36108,0.25252,1.00000,14.85958,14.86504
71.27938,73.03994,73.46659,61.17472,82.02685,84.54385,70.55985,-23140.89648,75.34068,7108.04736,-4.03833,2.15133,-31.20944,1616.56934,0.26605,1.00000,14.85613,14.86504
72.75195,74.51333,74.95471,62.67859,83.72144,86.25635,72.24922,-23144.46875,77.05398,7081.06250,-4.33194,1.88040,-31.95118,1705.87573,0.28075,1.00000,14.85267,14.86504
74.22756,75.97919,76.43498,64.15685,85.41956,87.95981,73.94461,-23148.32031,78.62926,7053.44775,-4.67389,1.85589,-32.67144,1797.35205,0.29581,1.00000,14.84921,14.86504
75.69171,77.39990,77.87037,65.56215,87.10447,89.61162,75.58401,-23152.45313,80.29226,7025.23145,-4.98792,2.04791,-33.35608,1890.91260,0.31120,1.00000,14.84574,14.86504
77.11253,78.72737,79.21275,66.87317,88.73952,91.15641,77.11572,-23156.85547,82.11379,6996.45361,-5.31984,2.23375,-33.98755,1986.42725,0.32692,1.00000,14.84227,14.86504
78.44454,79.91609,80.41665,68.00554,90.27237,92.54183,78.46934,-23161.52344,84.16629,6967.17041,-5.53904,2.58205,-34.54249,2083.71362,0.34294,1.00000,14.84227,14.86156
79.63293,80.92164,81.43778,68.89445,91.63994,93.71693,79.57134,-23166.24805,86.56711,6937.44824,-5.52744,3.04709,-35.00713,2182.45117,0.35919,1.00000,14.84227,14.86156
80.65211,81.69336,82.22559,69.52323,92.81279,94.62354,80.41476,-23171.01758,89.42276,6907.39355,-5.62246,3.63831,-35.31931,2282.29077,0.37562,1.00000,14.84227,14.85808
81.35014,82.12566,82.67403,69.70248,93.61607,95.13958,80.76826,-23175.65430,92.80334,6877.13867,-5.10559,4.24941,-35.49035,2382.71289,0.39214,1.00000,14.84227,14.85460
81.58231,82.30717,82.87193,69.59103,93.88326,95.36732,80.70899,-23179.49414,96.63372,6846.78320,-3.82583,4.50604,-35.59264,2483.10205,0.40867,1.00000,14.84227,14.85112
81.93489,82.87392,83.45625,70.14413,94.28899,96.03974,81.12384,-23182.27734,100.04050,6816.22021,-2.88775,3.64020,-35.96671,2583.79419,0.42524,1.00000,14.84227,14.84764
82.71676,83.58957,84.19028,70.82668,95.18875,96.88445,81.92193,-23184.99023,103.36160,6783.53174,-3.30265,3.71284,-36.28369,2691.40820,0.44295,1.00000,14.84227,14.84415
83.31196,84.10204,84.72050,71.11056,95.87370,97.49462,82.30202,-23187.64063,106.84069,6750.59961,-2.24537,3.95462,-36.51017,2799.80908,0.46079,1.00000,14.84052,14.84241
83.90680,84.61763,85.25497,71.48975,96.55822,98.10966,82.80833,-23189.51953,110.54815,6717.48096,-2.21592,4.24897,-36.70716,2908.64160,0.47870,1.00000,14.84052,14.84241
84.44135,85.05549,85.71204,71.79714,97.17338,98.63567,83.15006,-23191.43555,114.42909,6684.19238,-1.68021,4.21249,-36.89370,3018.03833,0.49671,1.00000,14.83704,14.84241
84.84025,85.66987,86.34566,72.35136,97.63242,99.36482,83.64249,-23192.36328,117.93004,6650.68945,-0.69207,3.60604,-37.21082,3128.00146,0.51480,1.00000,14.83355,14.84241
85.55962,86.40138,87.09647,73.04182,98.46026,100.22883,84.44427,-23193.17969,121.18207,6616.86475,-1.05569,3.65553,-37.55772,3239.00757,0.53307,1.00000,14.83006,14.84241
86.28230,87.03608,87.75064,73.52499,99.29190,100.98164,85.05943,-23193.99023,124.61395,6582.76709,-0.68578,3.93577,-37.81451,3350.90967,0.55149,1.00000,14.82656,14.84241
86.94070,87.65482,88.38956,74.06781,100.04958,101.71690,85.66621,-23194.51563,128.18748,6548.44092,-0.54464,3.87163,-38.09612,3463.54126,0.57003,1.00000,14.82307,14.84241
