"_Vind,_kias","_Vind,_keas","Vtrue,_ktas","Vtrue,_ktgs","_Vind,__mph","Vtrue,mphas","Vtrue,mphgs","____X,____m","____Y,____m","____Z,____m","___vX,__m/s","___vY,__m/s","___vZ,__m/s","_dist,___ft","_dist,___nm",A,B,C
44.23414,42.92042,43.18803,29.96891,50.90374,49.69990,34.48993,-23176.78125,85.79895,4318.06006,4.58296,-0.15246,-14.72072,10804.48633,1.77819,0.00000,14.76104,14.77351
43.13277,41.84734,42.10798,28.88855,49.63631,48.45700,33.24652,-23173.45508,85.68081,4306.36084,3.72181,-0.14623,-14.38823,10844.39551,1.78476,0.00000,14.75988,14.77351
42.06844,40.82833,41.08236,27.87289,48.41149,47.27673,32.07783,-23170.69531,85.55867,4294.95947,3.24089,-0.14952,-13.96825,10882.88281,1.79109,0.00000,14.75988,14.77351
40.98400,39.79355,40.04085,26.83592,47.16354,46.07819,30.88504,-23168.00000,85.42661,4283.25098,3.08817,-0.16633,-13.45603,10922.30176,1.79758,0.00000,14.75871,14.77351
39.94552,38.64894,38.88894,25.72379,45.96849,44.75259,29.60305,-23165.82813,85.34059,4272.61719,2.22609,-0.07001,-13.04499,10957.91406,1.80344,0.00000,14.75754,14.77351
38.77193,37.56232,37.79541,24.69802,44.61795,43.49418,28.42286,-23164.35938,85.26772,4261.64795,1.38664,-0.08675,-12.62997,10994.22949,1.80942,0.00000,14.75637,14.77351
37.58363,35.18354,35.40172,22.29133,43.25047,40.73957,25.65314,-23163.22461,85.19785,4251.23584,1.35502,-0.07427,-11.38740,11028.59180,1.81507,0.00000,14.75520,14.77351
35.01319,30.72301,30.91343,17.79416,40.29246,35.57454,20.47790,-23162.15234,85.13438,4242.50732,1.10638,-0.06803,-9.08708,11057.44434,1.81982,0.00000,14.75402,14.77351
30.74386,25.43457,25.59213,12.49188,35.37940,29.45090,14.37592,-23161.38477,85.08243,4235.52344,0.59348,-0.04802,-6.39897,11080.49707,1.82362,0.00000,14.75402,14.77351
25.63924,19.95982,20.08342,6.99791,29.50511,23.11159,8.05351,-23161.06055,85.04176,4231.02295,0.16699,-0.03559,-3.59619,11095.29980,1.82605,0.00000,14.75285,14.77351
20.15117,15.60049,15.69708,2.64021,23.18955,18.06388,3.03846,-23161.00195,85.01652,4229.02441,-0.12097,-0.02781,-1.35263,11101.86328,1.82713,0.00000,14.75167,14.77351
15.77362,12.74978,12.82871,0.37893,18.15195,14.76302,0.43607,-23161.00586,85.01175,4228.63135,-0.00825,-0.01720,0.19400,11103.39941,1.82738,0.00000,14.75107,14.77292
13.39195,13.19668,13.27838,0.08856,15.41119,15.28049,0.10192,-23161.01367,85.00809,4228.67090,-0.00407,0.00584,-0.04500,11103.63574,1.82742,0.00000,14.75107,14.77173
12.83269,13.09638,13.17746,0.01966,14.76760,15.16435,0.02262,-23161.01563,85.00813,4228.66992,0.00024,-0.00134,0.01002,11103.68359,1.82743,0.00000,14.75107,14.77055
12.70784,13.29633,13.37865,0.18521,14.62392,15.39588,0.21313,-23161.01172,85.01005,4228.64111,0.01042,0.00639,-0.09449,11103.78516,1.82745,1.00000,14.75107,14.76846
12.80069,13.14947,13.23089,0.04082,14.73077,15.22583,0.04698,-23161.00391,85.01433,4228.55957,0.01476,0.00395,-0.01441,11104.05469,1.82749,0.00000,14.75107,14.76741
12.67498,12.86720,12.94686,0.25652,14.58611,14.89898,0.29521,-23161.00781,85.01015,4228.64404,-0.00604,-0.01019,0.13144,11104.33398,1.82754,0.00000,14.75107,14.76741
12.59833,13.13319,13.21450,0.02322,14.49790,15.20698,0.02672,-23161.01367,85.00920,4228.66064,-0.00444,0.00128,-0.01101,11104.43652,1.82756,0.00000,14.75107,14.76630
12.63678,13.10701,13.18816,0.00893,14.54215,15.17667,0.01028,-23161.01367,85.00858,4228.66602,0.00084,-0.00060,0.00448,11104.45801,1.82756,0.00000,14.75107,14.76514
12.65186,13.11332,13.19451,0.00231,14.55950,15.18397,0.00266,-23161.01367,85.00852,4228.66602,0.00059,-0.00012,0.00102,11104.45801,1.82756,0.00000,14.75107,14.76396
12.65451,13.11434,13.19553,0.00078,14.56255,15.18514,0.00089,-23161.01367,85.00839,4228.66699,0.00017,-0.00003,0.00036,11104.45801,1.82756,0.00000,14.75107,14.76278
12.65369,13.11407,13.19526,0.00094,14.56161,15.18483,0.00108,-23161.01367,85.00836,4228.66748,0.00006,-0.00006,0.00048,11104.45801,1.82756,0.00000,14.75107,14.76278
12.65333,13.11470,13.19589,0.00025,14.56119,15.18556,0.00029,-23161.01367,85.00832,4228.66748,0.00003,0.00002,0.00013,11104.45801,1.82756,0.00000,14.75107,14.76160
12.65323,13.11463,13.19582,0.00031,14.56108,15.18548,0.00035,-23161.01367,85.00829,4228.66797,-0.00002,-0.00005,0.00015,11104.45801,1.82756,0.00000,14.75107,14.76041
12.65322,13.11480,13.19599,0.00015,14.56106,15.18568,0.00017,-23161.01367,85.00828,4228.66797,0.00002,-0.00001,0.00007,11104.45801,1.82756,0.00000,14.75107,14.75923
12.65322,13.11477,13.19596,0.00017,14.56106,15.18564,0.00019,-23161.01367,85.00828,4228.66797,0.00001,-0.00001,0.00008,11104.45801,1.82756,0.00000,14.75107,14.75923
12.65322,13.11488,13.19607,0.00004,14.56106,15.18577,0.00005,-23161.01367,85.00827,4228.66797,-0.00001,0.00000,0.00002,11104.45801,1.82756,0.00000,14.75107,14.75805
